Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-01-02,tcs,3265,3267,3235.85,3260.65,72106
2022-12-30,tcs,3285,3299.05,3246.75,3259.25,182089
2022-12-29,tcs,3233,3271,3229.05,3269.25,52967
2022-12-28,tcs,3245,3266.95,3226.8,3256.3,41409
2022-12-27,tcs,3265,3273.95,3230.6,3259.05,34548
2022-12-26,tcs,3225,3271.95,3225,3255.85,18484
2022-12-23,tcs,3235.1,3265.85,3218.7,3227.3,88714
2022-12-22,tcs,3288,3290.95,3244.6,3258.7,41242
2022-12-21,tcs,3249,3283,3239.35,3267.15,91096
2022-12-20,tcs,3201,3248.05,3164,3242.9,28562
2022-12-19,tcs,3234,3246,3195,3201.6,90877
2022-12-16,tcs,3280,3291.1,3225.1,3238.1,66727
2022-12-15,tcs,3364,3364,3300,3304.55,56212
2022-12-14,tcs,3341,3378.05,3341,3364.7,39334
2022-12-13,tcs,3280.2,3339.4,3269,3331.9,36869
2022-12-12,tcs,3250,3295,3236.35,3284.5,80179
2022-12-09,tcs,3366,3372,3277,3292.65,68806
2022-12-08,tcs,3374,3374,3339.05,3350.3,106443
2022-12-07,tcs,3367,3394.65,3354.05,3380.6,45278
2022-12-06,tcs,3400,3407.85,3367.85,3384.35,50436
2022-12-05,tcs,3424,3435.85,3407.3,3425,77725
2022-12-02,tcs,3460,3468,3414,3439.25,83358
2022-12-01,tcs,3421,3479.65,3421,3475.1,261887
2022-11-30,tcs,3390,3413.15,3375.05,3392.4,32178
2022-11-29,tcs,3380.25,3428,3380.25,3397.1,166776
2022-11-28,tcs,3371,3416.2,3365,3397.4,95814
2022-11-25,tcs,3378,3402,3348,3388.85,80720
2022-11-24,tcs,3315,3392,3307.05,3378.5,150131
2022-11-23,tcs,3330,3330,3290.75,3310.4,73213
2022-11-22,tcs,3272,3318.95,3255.05,3314.25,23411
2022-11-21,tcs,3330,3332.2,3274.7,3282.3,26113
2022-11-18,tcs,3346,3361.4,3321.15,3341.8,138271
2022-11-17,tcs,3343,3358.65,3318.3,3351.4,46877
2022-11-16,tcs,3334,3367,3322.05,3354.05,196455
2022-11-15,tcs,3325,3341.15,3291.8,3332.65,132868
2022-11-14,tcs,3321,3349,3307.3,3334.05,145040
2022-11-11,tcs,3262,3341.25,3253.6,3316.1,308454
2022-11-10,tcs,3175,3225.15,3172.4,3206,114990
2022-11-09,tcs,3236,3245.6,3202,3215.95,107468
2022-11-07,tcs,3225,3242,3196.15,3234.25,121301
2022-11-04,tcs,3207.15,3220,3168,3216.3,112298
2022-11-03,tcs,3225,3225.45,3195,3207.15,1567293
2022-11-02,tcs,3270,3270,3222.15,3242.75,146673
2022-11-01,tcs,3209,3261.65,3205.05,3259.6,52959
2022-10-31,tcs,3193,3199.3,3178.45,3193.05,80343
2022-10-28,tcs,3156.15,3178.4,3147.05,3162.95,36819
2022-10-27,tcs,3159,3173.35,3134.6,3156.15,42161
2022-10-25,tcs,3180,3183.95,3150.85,3161.8,142516
2022-10-24,tcs,3160,3178,3155,3161.95,42704
2022-10-21,tcs,3154.85,3159,3127.65,3139.4,93476
2022-10-20,tcs,3112,3160,3104.5,3154.85,35915
2022-10-19,tcs,3139.85,3153.35,3112.55,3120.75,50767
2022-10-18,tcs,3145,3153.55,3128.9,3143.75,41737
2022-10-17,tcs,3082,3127.5,3072.55,3111.65,1207533
2022-10-14,tcs,3136,3149,3071.05,3097.65,127684
2022-10-13,tcs,3104.6,3110,3053.3,3101.05,123897
2022-10-12,tcs,3093.8,3110,3063.25,3100.75,77306
2022-10-11,tcs,3100,3144.55,3054.75,3068.95,1428966
2022-10-10,tcs,3013.1,3129.9,3013.05,3121.2,227444
2022-10-07,tcs,3099,3104.85,3059,3064.95,190047
2022-10-06,tcs,3103,3124.1,3092.5,3104.7,185886
2022-10-04,tcs,3020,3097.5,3020,3092.5,113230
2022-10-03,tcs,3004.6,3020.45,2973.85,2985.7,161101
2022-09-30,tcs,2995,3019,2950.1,3004.6,167509
2022-09-29,tcs,3042,3052.5,2990.7,2997.35,116665
2022-09-28,tcs,2980,3049,2980,3037.35,129003
2022-09-27,tcs,3014.45,3025,2976,3018.65,152031
2022-09-26,tcs,2978,3024.5,2926,2994.75,181320
2022-09-23,tcs,3006.1,3021.95,2980.1,2982.8,145153
2022-09-22,tcs,2986.15,3029.95,2980,3007.6,148264
2022-09-21,tcs,3029,3040.8,3000,3001.75,124329
2022-09-20,tcs,3050,3079.9,3031,3041.4,112804
2022-09-19,tcs,3025,3042.95,2988.35,3028.55,855360
2022-09-16,tcs,3088,3097.95,3001,3008.65,352662
2022-09-15,tcs,3127,3140.65,3101,3104.35,192170
2022-09-14,tcs,3135,3142,3114.75,3120.85,373125
2022-09-13,tcs,3260,3263.15,3225,3229.4,129890
2022-09-12,tcs,3233.85,3268.7,3226.75,3241.3,90748
2022-09-09,tcs,3190.3,3232,3168.85,3217.3,197742
2022-09-08,tcs,3164,3183.7,3160.45,3169.85,96753
2022-09-07,tcs,3117,3160.9,3102,3151.1,105750
2022-09-06,tcs,3134.2,3140.95,3106.1,3128.85,67799
2022-09-05,tcs,3129.65,3147.45,3113.5,3132.85,224678
2022-09-02,tcs,3160,3161.4,3121.5,3129.65,108411
2022-09-01,tcs,3189.6,3189.6,3121.2,3131.55,431542
2022-08-30,tcs,3148,3226.95,3143.2,3211.6,117816
2022-08-29,tcs,3145,3145,3081.3,3133.7,114608
2022-08-26,tcs,3234.85,3257,3218.1,3221.65,28323
2022-08-25,tcs,3270.2,3279.95,3213.5,3218.1,91523
2022-08-24,tcs,3295,3307.85,3251,3255.35,53777
2022-08-23,tcs,3324.25,3340.9,3274.55,3283.75,122593
2022-08-22,tcs,3369,3384.45,3347,3354.25,96277
2022-08-19,tcs,3388,3421,3371.05,3385.25,140465
2022-08-18,tcs,3399,3399,3361.7,3381.25,137979
2022-08-17,tcs,3385,3417,3371,3400.65,111891
2022-08-16,tcs,3403.05,3413.5,3387.8,3392.95,22937
2022-08-12,tcs,3420,3420.1,3382,3399.8,112772
2022-08-11,tcs,3393,3428,3377,3422.45,124557
2022-08-10,tcs,3377.1,3380.3,3335,3356,72060
2022-08-08,tcs,3361,3378.9,3335.5,3373.95,86210
2022-08-05,tcs,3354,3377,3354,3365.25,25229
2022-08-04,tcs,3352,3387.95,3306.65,3354.15,128302
2022-08-03,tcs,3289.5,3349,3276.7,3339.6,47351
2022-08-02,tcs,3281,3311.45,3272,3290.05,75259
2022-08-01,tcs,3327.05,3329,3271,3299.2,1310532
2022-07-29,tcs,3290.2,3316.6,3276,3300.8,55026
2022-07-28,tcs,3214.9,3264,3201.35,3260.2,80279
2022-07-27,tcs,3102,3194.1,3102,3188.35,44030
2022-07-26,tcs,3163.95,3166.95,3096.55,3115.85,96329
2022-07-25,tcs,3169,3185,3148.35,3167.3,61457
2022-07-22,tcs,3180,3197,3142.1,3171,81444
2022-07-21,tcs,3167.1,3183.55,3144.1,3177.7,51548
2022-07-20,tcs,3109.45,3170.85,3098,3163.95,217944
2022-07-19,tcs,3026,3078.95,3026,3075.1,103279
2022-07-18,tcs,3023.4,3076.45,3015,3060.35,1742719
2022-07-15,tcs,3015,3028,2953,2993.55,120629
2022-07-14,tcs,3060,3060,2968,2998.7,167339
2022-07-13,tcs,3108.5,3109.9,3033.7,3038.55,107114
2022-07-12,tcs,3125,3136.2,3081,3084.65,188774
2022-07-11,tcs,3220,3223.05,3105.85,3113.25,202245
2022-07-08,tcs,3297,3300.25,3250.05,3264.85,76501
2022-07-07,tcs,3269.95,3319,3265,3286.95,77239
2022-07-06,tcs,3216,3267.9,3202.4,3260.3,101238
2022-07-05,tcs,3252,3272,3209,3216.15,138816
2022-07-04,tcs,3315,3316.6,3225.8,3234.65,113323
2022-07-01,tcs,3262,3332.45,3252,3316.15,34282
2022-06-30,tcs,3270,3310.95,3254,3265.25,41813
2022-06-29,tcs,3270,3332.9,3270,3291.05,108986
2022-06-28,tcs,3312.65,3326.25,3274,3318.95,31985
2022-06-27,tcs,3338,3361.7,3306.4,3312.65,38084
2022-06-24,tcs,3344,3344,3278,3292.95,107346
2022-06-23,tcs,3222,3317,3222,3309,371935
2022-06-22,tcs,3201,3249,3184.15,3222,94514
2022-06-21,tcs,3128,3237.3,3125,3212,106881
2022-06-20,tcs,3094.5,3138.6,3069.7,3113.2,94264
2022-06-17,tcs,3099.65,3110.55,3023.35,3089.25,276257
2022-06-16,tcs,3237.4,3241.65,3134,3142.35,175120
2022-06-15,tcs,3214.95,3234,3201.1,3206.8,87160
2022-06-14,tcs,3198,3238.9,3178.9,3211.25,168330
2022-06-13,tcs,3291,3293,3194,3220.15,168993
2022-06-10,tcs,3388,3390.15,3352.1,3365.35,116639
2022-06-09,tcs,3373,3436.4,3354.15,3426.55,46081
2022-06-08,tcs,3372,3413.45,3347,3403.05,79401
2022-06-07,tcs,3420,3420,3356.2,3362,26386
2022-06-06,tcs,3421,3453.1,3378,3430.25,34827
2022-06-03,tcs,3454.7,3477.5,3431.55,3438.8,65791
2022-06-02,tcs,3357,3432.25,3350.05,3422.95,104828
2022-06-01,tcs,3385,3388,3342.5,3356.5,121714
2022-05-31,tcs,3355,3382.95,3324.1,3364.8,72520
2022-05-30,tcs,3273.85,3385.8,3273.85,3375.55,117464
2022-05-27,tcs,3249,3278.85,3230,3262.2,146145
2022-05-26,tcs,3190,3242,3181,3228.6,110339
2022-05-25,tcs,3286,3286.55,3155,3166.6,235534
2022-05-24,tcs,3311,3320.95,3276.5,3288.05,105893
2022-05-23,tcs,3315,3338,3267.05,3320.95,88129
2022-05-20,tcs,3309,3314,3271.15,3293.9,137393
2022-05-19,tcs,3376,3402.6,3231.05,3270.7,494805
2022-05-18,tcs,3460,3495,3443.05,3449,59292
2022-05-17,tcs,3369.95,3466.4,3351.25,3452.2,37639
2022-05-16,tcs,3414,3429.5,3366.85,3376.65,32081
2022-05-13,tcs,3441,3441.3,3383.15,3413.45,142500
2022-05-12,tcs,3400,3448.4,3350.1,3411,158049
2022-05-11,tcs,3434,3447.5,3382,3412.9,66515
2022-05-10,tcs,3440,3464.9,3425,3437.25,95068
2022-05-09,tcs,3393,3455.5,3348.75,3446.1,185666
2022-05-06,tcs,3468.45,3474.7,3425.05,3433,134551
2022-05-05,tcs,3506.05,3532.95,3486.6,3513.3,74099
2022-05-04,tcs,3540,3545.2,3465.55,3482.45,1062687
2022-05-02,tcs,3513,3548.4,3494,3542.05,103847
2022-04-29,tcs,3597,3621.95,3537.4,3550.1,47354
2022-04-28,tcs,3585,3603.8,3539,3584,85289
2022-04-27,tcs,3540,3568.05,3506,3561.3,94285
2022-04-26,tcs,3565,3587.3,3520,3544.65,71786
2022-04-25,tcs,3561.1,3583,3534,3547.7,76976
2022-04-22,tcs,3580,3617,3571.2,3611.85,303745
2022-04-21,tcs,3589,3643,3568.5,3629.95,42124
2022-04-20,tcs,3489.75,3569,3481.05,3555.95,183652
2022-04-19,tcs,3550,3563.6,3440,3474.3,207746
2022-04-18,tcs,3620,3620,3524,3528.45,183837
2022-04-13,tcs,3703,3710.05,3657,3661.3,106056
2022-04-12,tcs,3680,3738.6,3650.05,3691.45,283042
2022-04-11,tcs,3698,3711.25,3656.85,3696.4,168596
2022-04-08,tcs,3690,3705,3643.85,3686.85,138607
2022-04-07,tcs,3740.05,3743.3,3676,3684.95,172534
2022-04-06,tcs,3812.65,3812.65,3732.3,3756.15,76724
2022-04-05,tcs,3792,3835.5,3775.55,3814.05,127222
2022-04-04,tcs,3761,3779,3738.05,3769.8,56385
2022-04-01,tcs,3746.15,3762.45,3729,3756.85,84280
2022-03-31,tcs,3736,3754,3720.05,3738.8,52924
2022-03-30,tcs,3738,3738,3707.05,3730.65,70417
2022-03-29,tcs,3690,3721,3690,3704.95,139652
2022-03-28,tcs,3698,3712.5,3660.65,3706.05,127823
2022-03-25,tcs,3753,3778.05,3672.95,3707.95,104788
2022-03-24,tcs,3700,3757.6,3699.95,3750,52182
2022-03-23,tcs,3709,3730,3689.6,3708.25,133080
2022-03-22,tcs,3630.1,3712,3625.5,3700.95,50288
2022-03-21,tcs,3700,3713.95,3615,3625.25,90739
2022-03-17,tcs,3692,3709.6,3661,3675.2,79044
2022-03-16,tcs,3653.7,3667,3600,3654.25,80789
2022-03-15,tcs,3656.5,3658.7,3586,3595.4,37001
2022-03-14,tcs,3584,3648,3580,3642.7,138512
2022-03-11,tcs,3614,3641.7,3594,3600.7,43118
2022-03-10,tcs,3685,3685,3614.6,3620.1,126839
2022-03-09,tcs,3610,3654,3599,3633.35,137528
2022-03-08,tcs,3458,3608,3458,3599.95,191722
2022-03-07,tcs,3469,3547.45,3351,3485.3,244599
2022-03-04,tcs,3500,3561.4,3485,3525.2,107978
2022-03-03,tcs,3568,3578.5,3530.85,3544.45,87974
2022-03-02,tcs,3560.1,3570.65,3506.95,3544.35,137462
2022-02-28,tcs,3493,3563.9,3456.7,3554.55,75954
2022-02-25,tcs,3452.25,3530,3452.25,3519.7,231297
2022-02-24,tcs,3475,3490,3392.05,3402.25,414928
2022-02-23,tcs,3604.7,3639.85,3555.85,3565.3,208645
2022-02-22,tcs,3649,3662.95,3570.8,3586.65,333134
2022-02-21,tcs,3812,3828.9,3705.8,3720.25,581891
2022-02-18,tcs,3769,3815.95,3756,3794.8,340554
2022-02-17,tcs,3830,3835.15,3780,3784.45,253743
2022-02-16,tcs,3852,3856,3805.9,3813.55,171784
2022-02-15,tcs,3785.45,3833,3749.95,3817.7,280664
2022-02-14,tcs,3734,3794.15,3710,3734.25,411550
2022-02-11,tcs,3752,3752,3690.6,3695.6,172871
2022-02-10,tcs,3785,3788.6,3758.3,3771.2,67626
2022-02-09,tcs,3762,3778,3748,3761.25,43296
2022-02-08,tcs,3794.9,3801.75,3721.15,3742.4,85663
2022-02-07,tcs,3800,3832.4,3756.1,3778.6,81224
2022-02-04,tcs,3810,3825,3769.2,3814.65,107911
2022-02-03,tcs,3845,3882.95,3815,3825,114933
2022-02-02,tcs,3823,3864,3800.65,3857,72720
