Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-02-02,infy,1780,1792.95,1771.55,1788.1,316328
2022-02-01,infy,1763,1780,1735,1772.15,351475
2022-01-31,infy,1719.45,1749.65,1714.65,1736.7,139255
2022-01-28,infy,1685,1727.1,1680,1685.25,246907
2022-01-27,infy,1704,1704,1665.05,1678.5,281782
2022-01-25,infy,1725,1739.95,1700.55,1722.1,375359
2022-01-24,infy,1770,1770,1728.45,1736.9,464704
2022-01-21,infy,1800,1808.3,1776.3,1786.05,339253
2022-01-20,infy,1854,1854,1815.9,1824.15,234368
2022-01-19,infy,1918.5,1918.5,1864.25,1867.7,269890
2022-01-18,infy,1930,1944,1912,1920.95,59778
2022-01-17,infy,1935,1953.7,1931.15,1939.35,111197
2022-01-14,infy,1879,1932.95,1879,1928.2,421856
2022-01-13,infy,1882.4,1912,1867.55,1897,632205
2022-01-12,infy,1873,1889,1860.6,1877.6,293646
2022-01-11,infy,1852,1869.95,1850.75,1856.05,182510
2022-01-10,infy,1815.05,1869.5,1813.8,1851.1,246641
2022-01-07,infy,1817.8,1835.8,1808,1813.15,296361
2022-01-06,infy,1827.15,1827.15,1800,1818.2,498350
2022-01-05,infy,1896,1900.8,1840,1844.95,169297
2022-01-04,infy,1899,1906,1878,1896.25,328891
2022-01-03,infy,1890,1914,1888.95,1897.15,324129
