Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-11-03,infy,1541,1544,1522.25,1530.5,79687
2022-11-02,infy,1574,1574,1545,1552.45,75604
2022-11-01,infy,1550,1574.5,1547.6,1572.75,488905
2022-10-31,infy,1522.2,1546.2,1522.2,1537.9,100694
2022-10-28,infy,1521,1526,1507.4,1512.6,48743
2022-10-27,infy,1526.05,1534.6,1513,1522.6,105720
2022-10-25,infy,1525,1532.65,1521.1,1525.75,2696093
2022-10-24,infy,1516.05,1521.8,1511.25,1517.4,54354
2022-10-21,infy,1500.9,1505.9,1491.2,1500.1,63418
2022-10-20,infy,1477,1503.9,1476,1500.3,74073
2022-10-19,infy,1507.45,1507.45,1481.85,1485,80107
2022-10-18,infy,1507,1510,1497.05,1503.55,269762
2022-10-17,infy,1475,1495,1475,1490.2,4245856
2022-10-14,infy,1487.7,1494,1468,1474.05,519749
2022-10-13,infy,1434.45,1437.6,1415.85,1419.75,296281
2022-10-12,infy,1446,1446,1414.2,1428.85,370066
2022-10-11,infy,1462,1479,1420.2,1423.9,5673135
2022-10-10,infy,1423.35,1465,1423.35,1462.7,238452
2022-10-07,infy,1450,1457.2,1440.9,1451.75,73041
2022-10-06,infy,1441,1459.4,1441,1454.95,363380
2022-10-04,infy,1419,1432.2,1414,1429.8,175235
2022-10-03,infy,1411,1411,1387,1394,160174
2022-09-30,infy,1386.05,1419.7,1376,1413.1,192317
2022-09-29,infy,1406,1409.25,1393,1397.55,159708
2022-09-28,infy,1381.9,1405.7,1378,1394.45,306804
2022-09-27,infy,1395,1406,1378.8,1392.2,512764
2022-09-26,infy,1363.5,1398.9,1355.5,1379.75,623407
2022-09-23,infy,1367.8,1394.6,1362,1365.25,256758
2022-09-22,infy,1376,1383.75,1360.05,1367.8,188598
2022-09-21,infy,1381,1388.45,1368.6,1376.55,177927
2022-09-20,infy,1412,1413.85,1385.2,1388.35,315713
2022-09-19,infy,1386,1406,1380.6,1390.3,3366848
2022-09-16,infy,1425,1425,1368.6,1379.15,460272
2022-09-15,infy,1473.35,1475.25,1429.4,1432.05,365222
2022-09-14,infy,1500,1500,1471.1,1475,760994
2022-09-13,infy,1552,1553,1541.1,1545,108803
2022-09-12,infy,1525,1545,1523.55,1535.6,379152
2022-09-09,infy,1489.1,1519.8,1480,1511.85,353238
2022-09-08,infy,1472,1480,1464,1475.95,270704
2022-09-07,infy,1442,1465.75,1437.3,1457.8,198388
2022-09-06,infy,1461.55,1469.7,1446,1455.35,103737
2022-09-05,infy,1451,1467,1447,1460.85,78902
2022-09-02,infy,1480,1480,1448.3,1452.9,233311
2022-09-01,infy,1465,1468.2,1451.5,1464.4,587058
2022-08-30,infy,1470,1495.95,1466,1493.2,229104
2022-08-29,infy,1453.35,1468.85,1450,1462,528271
2022-08-26,infy,1536,1544.05,1518.05,1521.85,188877
2022-08-25,infy,1545.35,1549,1514,1518.85,290522
2022-08-24,infy,1537,1546,1531.15,1537.3,165619
2022-08-23,infy,1546.55,1554.85,1533,1542.55,166691
2022-08-22,infy,1585,1599.55,1573.85,1575.45,367105
2022-08-19,infy,1584,1604.7,1584,1597.4,239068
2022-08-18,infy,1589,1600,1574,1582.7,310886
2022-08-17,infy,1594,1612,1585.45,1606.75,170965
2022-08-16,infy,1601.2,1608.45,1591.1,1595.8,140346
2022-08-12,infy,1610.55,1613.7,1590,1594.5,211754
2022-08-11,infy,1625,1631,1616.15,1619.7,196646
2022-08-10,infy,1619,1620.25,1588.5,1601.4,222406
2022-08-08,infy,1616.1,1621.85,1596,1619.1,176232
2022-08-05,infy,1610,1625.6,1603.65,1616.55,109383
2022-08-04,infy,1583,1603.7,1574.9,1599.65,230784
2022-08-03,infy,1544,1570,1540.3,1565.15,141963
