Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-01-25,tatasteel,120.25,122.25,120,121,2065147
2023-01-24,tatasteel,122.3,122.55,120.1,120.35,1632781
2023-01-23,tatasteel,123.3,123.85,121.5,122,2010820
2023-01-20,tatasteel,123.5,124.2,122,122.9,1891853
2023-01-19,tatasteel,121.95,124.3,120.25,123.5,4882667
2023-01-18,tatasteel,119.85,123,119.85,122.6,3336506
2023-01-17,tatasteel,119.85,119.85,118,119.35,1523585
2023-01-16,tatasteel,121.25,121.45,118.8,119.95,1597301
2023-01-13,tatasteel,118.35,121.6,118.15,120.45,3161530
2023-01-12,tatasteel,118.85,119.2,117.55,118.05,1343581
2023-01-11,tatasteel,119.3,120.35,118,118.8,1715860
2023-01-10,tatasteel,117.55,119.75,117.55,118.85,2370293
2023-01-09,tatasteel,116.8,118.15,116.6,117.5,1569990
2023-01-06,tatasteel,116.8,117.8,115.25,115.6,3823792
2023-01-05,tatasteel,116.4,117,114.5,116.6,2330432
2023-01-04,tatasteel,118.55,119.1,115.35,115.7,2459449
2023-01-03,tatasteel,119.75,120.5,117.75,118.45,3278960
2023-01-02,tatasteel,114.2,119.6,113.75,119.25,12754227
2022-12-30,tatasteel,112.55,114.7,112.1,112.65,4484636
2022-12-29,tatasteel,108.8,112,108.8,111.75,2414638
2022-12-28,tatasteel,111.15,112.25,109.7,109.95,3691519
2022-12-27,tatasteel,106.6,111.5,105.8,111.15,5297075
2022-12-26,tatasteel,102,105.6,101.6,105,1652036
2022-12-23,tatasteel,105.8,106.5,101.9,102.2,2389781
2022-12-22,tatasteel,109.4,110.6,106.4,107.55,2251051
2022-12-21,tatasteel,111.65,111.95,108.75,109.35,1579701
2022-12-20,tatasteel,111.2,111.5,109.05,110.9,1257515
2022-12-19,tatasteel,110.75,112.1,110.75,111.75,921499
2022-12-16,tatasteel,110.15,112.05,109.4,111,2897166
2022-12-15,tatasteel,112.75,113.5,110.7,110.95,1493831
2022-12-14,tatasteel,111.3,113.2,111.15,113,1448648
2022-12-13,tatasteel,112.35,112.75,110.8,111.15,2009016
2022-12-12,tatasteel,110,112.1,108.7,111.75,3114190
2022-12-09,tatasteel,112.6,113.8,109.7,110.45,3226905
2022-12-08,tatasteel,111.5,112.95,110.8,111.85,3107262
2022-12-07,tatasteel,113.1,113.5,110.9,111.25,1930243
2022-12-06,tatasteel,115.6,115.6,112.25,112.9,2856264
2022-12-05,tatasteel,113.05,116.05,112.6,115.8,9902771
2022-12-02,tatasteel,110.25,112.5,110.25,112.05,3506966
2022-12-01,tatasteel,108.2,111.3,108,110.7,11872545
2022-11-30,tatasteel,106.1,107.9,105.9,107.7,4451220
2022-11-29,tatasteel,104.8,107.6,104.8,106.1,4589186
2022-11-28,tatasteel,105.9,106.4,104.55,104.9,2663200
2022-11-25,tatasteel,105.55,106.5,105.1,106.2,1266476
2022-11-24,tatasteel,105.65,105.95,104.6,105.45,2049473
2022-11-23,tatasteel,105.9,105.95,104.9,105.6,1326989
2022-11-22,tatasteel,104.25,105.4,103.55,105.15,1417435
2022-11-21,tatasteel,107.9,107.9,103.9,104.2,4222910
2022-11-18,tatasteel,105.85,106.3,104.7,105.5,1973041
2022-11-17,tatasteel,106,106.75,104.5,105.85,2476199
2022-11-16,tatasteel,108.3,108.8,105.25,106.55,1540453
2022-11-15,tatasteel,108.8,109.35,107.25,108.5,2855557
2022-11-14,tatasteel,108.15,110,108.15,108.65,2600489
2022-11-11,tatasteel,106.2,108.2,106.15,107.5,3403076
2022-11-10,tatasteel,105.05,106,104.45,104.65,3073273
2022-11-09,tatasteel,107,107.5,105.55,106.15,2405877
2022-11-07,tatasteel,105.1,107.4,104.55,106.65,8160890
2022-11-04,tatasteel,102.25,105,102.25,104.75,8220902
2022-11-03,tatasteel,100.6,102.6,100.05,102.2,2317113
