Date,Script-name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-11-25,bharti,850.55,877.1,841.8,846.8,80271
2022-11-24,bharti,851.85,851.85,837.8,848.25,86979
2022-11-23,bharti,852,852,841.65,842.6,62087
2022-11-22,bharti,854.7,860.2,845.3,847.15,122345
2022-11-21,bharti,837,852.5,835.8,851.2,78112
2022-11-18,bharti,850,851.7,831.1,837,318275
2022-11-17,bharti,844.8,849.2,838.3,846.05,67780
2022-11-16,bharti,838,843.9,827.95,840.95,221167
2022-11-15,bharti,820.2,838,820.2,835.1,343331
2022-11-14,bharti,817,830.45,817,821.65,228386
2022-11-11,bharti,831,836.95,823.85,826.45,96726
2022-11-10,bharti,817.25,830.35,817.25,825.3,128612
2022-11-09,bharti,821.1,825.6,814.45,817.65,156361
2022-11-07,bharti,814.8,824,809.05,822.75,323549
2022-11-04,bharti,813.05,821.05,809.35,816.4,114407
2022-11-03,bharti,805.55,824.05,804.5,818.4,179968
2022-11-02,bharti,830,830,807.45,809.9,401871
2022-11-01,bharti,834.5,841.3,821.5,835.35,444358
2022-10-31,bharti,820.55,833.7,820.2,832,76737
2022-10-28,bharti,820,824.2,811.5,816.8,63091
2022-10-27,bharti,804,822.5,804,816.9,275824
2022-10-25,bharti,806.05,806.4,798.7,802.25,77608
2022-10-24,bharti,797.6,807.65,797.6,802.3,17289
2022-10-21,bharti,791.8,802.5,789.65,797.4,110038
2022-10-20,bharti,781.05,793.8,778.85,792.95,69182
2022-10-19,bharti,788,788.05,779.4,783.35,79966
2022-10-18,bharti,770,785.25,769.25,783.25,90489
2022-10-17,bharti,758.55,771,758.55,766,2936089
2022-10-14,bharti,777.35,779.65,763.2,766.15,173194
2022-10-13,bharti,775.4,778.7,767.95,768.8,161121
2022-10-12,bharti,778.95,781.1,769.2,775.4,167188
2022-10-11,bharti,796,796.7,776.1,780.05,2885053
2022-10-10,bharti,787.3,794.75,779.6,792.25,178289
2022-10-07,bharti,791,796.5,784.85,793.4,270612
2022-10-06,bharti,805.25,815.75,785.25,788.2,154114
2022-10-04,bharti,816.75,816.75,807.1,808.7,139265
