Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-12-27,reliance,2529,2548.8,2514.35,2545.05,184837
2022-12-26,reliance,2513.7,2542.05,2493.95,2524.5,95382
2022-12-23,reliance,2564,2589.75,2493,2501.55,307147
2022-12-22,reliance,2595.2,2606.65,2565.9,2577.9,93106
2022-12-21,reliance,2622,2633.6,2576.35,2584.4,77509
2022-12-20,reliance,2593.95,2626,2566.6,2621.15,129098
2022-12-19,reliance,2583.95,2603.25,2567.7,2600,67621
2022-12-16,reliance,2570,2619,2558.1,2565.1,169510
2022-12-15,reliance,2609.5,2614.9,2571,2578.75,95215
2022-12-14,reliance,2631.2,2639.5,2611,2614.9,42452
2022-12-13,reliance,2617,2633.2,2606.75,2624.2,65370
2022-12-12,reliance,2590,2623,2585,2612.25,117691
2022-12-09,reliance,2648.9,2660.6,2602.15,2609.1,155892
2022-12-08,reliance,2665.5,2665.5,2640.05,2649.5,93535
2022-12-07,reliance,2686.8,2694.35,2643,2649.9,116129
2022-12-06,reliance,2660,2697,2660,2688.25,197739
2022-12-05,reliance,2719.95,2719.95,2678.35,2682.85,208698
2022-12-02,reliance,2726.25,2747.65,2701,2722.65,114503
2022-12-01,reliance,2736,2754.7,2716,2722.95,245387
2022-11-30,reliance,2715,2743.6,2699.1,2732.4,116521
2022-11-29,reliance,2704.1,2730.5,2693.4,2711.05,225659
2022-11-28,reliance,2601.35,2721.6,2585,2708.05,358911
2022-11-25,reliance,2583.05,2624.15,2581.35,2617.05,228490
2022-11-24,reliance,2566,2592,2548.35,2582.55,101023
2022-11-23,reliance,2579,2579,2552.15,2556.45,188170
2022-11-22,reliance,2544.25,2568,2536.9,2564.3,201826
2022-11-21,reliance,2585,2589.3,2543,2550.05,104254
2022-11-18,reliance,2606,2608.85,2572,2597.55,138143
2022-11-17,reliance,2586,2613,2581.35,2601.3,181514
2022-11-16,reliance,2604,2615.05,2581.2,2591.85,116478
2022-11-15,reliance,2618.05,2627.75,2590.05,2606.7,403971
2022-11-14,reliance,2625,2642.65,2605.55,2617.95,4751003
2022-11-11,reliance,2598.7,2635,2587.25,2631.35,402694
2022-11-10,reliance,2585,2596.95,2563,2574.45,240161
2022-11-09,reliance,2606,2621.5,2591.35,2603,185280
2022-11-07,reliance,2592,2609.9,2574,2606.15,168418
2022-11-04,reliance,2548,2595.25,2548,2592.45,295536
2022-11-03,reliance,2526.15,2560,2526.15,2555.95,213304
2022-11-02,reliance,2528.35,2550.25,2514.25,2545.4,119457
2022-11-01,reliance,2582,2588.45,2508,2529.75,195343
2022-10-31,reliance,2535,2560.5,2533.1,2549.55,238633
2022-10-28,reliance,2463.05,2534,2460.2,2526,250899
2022-10-27,reliance,2456,2468,2433.2,2450.1,240543
2022-10-25,reliance,2498,2498.15,2437.55,2441.85,2676294
2022-10-24,reliance,2464.5,2501,2458.35,2479.7,117206
2022-10-21,reliance,2507,2516.5,2467,2471.95,228842
2022-10-20,reliance,2478.05,2519,2478.05,2500.9,268387
2022-10-19,reliance,2452.15,2527,2441.9,2496.5,304000
2022-10-18,reliance,2420,2463,2420,2450.55,275176
